Sample time,Sample number,Sample type,strontium_total_ugL-1,tellurium_total_ugL-1,terbium_total_ugL-1,thallium_total_ugL-1,tin_total_ugL-1,titanium_total_ugL-1,tungsten_total_ugL-1,uranium_total_ugL-1,vanadium_total_ugL-1,ytterbium_total_ugL-1
2016-09-01 18:30,17PY005024,1,92.3,,,0.007,0.012,17.9,0.149,0.221,1.25,
2016-09-12 20:00,17PY005036,1,88.4,,,0.007,0.007,12.7,0.009,0.236,0.93,
2016-09-28 18:55,17PY005082,1,88.7,,,0.011,0.011,22.2,0.009,0.273,1.67,
2016-10-21 18:05,17PY005131,1,70,,,0.007,0.013,10.7,0.008,0.196,0.99,
2016-11-04 18:10,17PY005170,1,65.3,,,0.005,0.01,9.28,0.01,0.172,0.94,
2016-11-29 20:15,17PY005580,1,69,,,0.007,0.044,8.62,0.011,0.182,0.85,
2017-04-03 22:05,17PY005650,1,86.3,,,0.005,0.016,9.6,0.012,0.188,1.06,
2017-05-11 19:00,17PY005772,1,107,,,0.045,0.013,170,0.006,0.485,12.1,
2017-05-29 18:30,17PY005915,1,92.2,,,0.037,0.01,114,0.007,0.393,9.13,
2017-06-13 20:30,17PY005948,1,84,,,0.019,0.005,70.5,0.007,0.286,4.81,
2017-07-07 18:30,17PY006139,1,74.2,,,0.011,0.011,32.4,0.007,0.221,2.29,
2017-07-19 20:00,17PY006163,1,77.1,,,0.007,0.009,23.7,0.007,0.212,1.62,
2017-08-16 18:00,17PY006243,1,71.3,,,0.006,0.005,12.4,0.009,0.186,1.05,
2017-09-07 19:40,17PY006293,1,90.1,,,0.008,0.006,12.7,0.014,0.22,1.05,
2017-11-01 20:00,17PY006576,1,79.1,,,0.016,0.01,42.8,0.02,0.265,3.38,
2017-12-06 21:55,18PY005015,1,77.3,,,0.004,0.005,11.9,0.008,0.181,0.99,
2018-01-31 19:15,18PY005948,1,66.7,,,0.003,0.006,15.4,0.012,0.157,1.08,
2018-05-10 19:10,18PY005727,1,91.9,,,0.039,0.012,132,0.005,0.398,10.4,
