Sample time,Sample number,Sample type,niobium_total_ugL-1,palladium_total_ugL-1,platinum_total_ugL-1,praseodymium_total_ugL-1,rubidium_total_ugL-1,ruthenium_total_ugL-1,samarium_total_ugL-1,scandium_total_ugL-1,selenium_total_ugL-1,silver_total_ugL-1
2015-10-02 19:00,16PY005351,1,0.02,,0.001,,1.24,,,,0.07,0.003
2015-10-15 19:20,16PY005433,1,0.006,,0.001,,1.26,,,,0.07,0.002
2015-11-10 20:00,16PY005503,1,0.023,,0.001,,1.09,,,,0.08,0.006
2015-11-26 21:45,16PY005546,1,0.013,,0.001,,1.11,,,,0.09,0.003
2015-12-09 20:06,16PY005620,1,0.011,,0.001,,1.01,,,,0.07,0.004
2015-12-22 20:40,16PY005613,1,0.006,,0.001,,1.07,,,,0.09,0.003
2016-02-02 20:35,16PY005703,1,0.011,,0.001,,1.01,,,,0.08,0.004
2016-03-14 19:09,16PY005874,1,0.026,,0.001,,1.16,,,,0.1,0.007
2016-04-14 18:45,16PY005912,1,0.046,,0.001,,1.4,,,,0.09,0.011
2016-04-28 18:45,16PY005942,1,0.048,,0.001,,1.98,,,,0.1,0.018
2016-05-11 19:00,16PY005966,1,0.031,,0.001,,1.22,,,,0.09,0.007
2016-05-31 18:30,16PY006020,1,0.035,,0.001,,1.46,,,,0.08,0.007
2016-06-22 19:00,16PY006230,1,0.054,,0.001,,1.56,,,,0.08,0.008
2016-07-06 18:55,16PY006062,1,0.025,,0.001,,1.22,,,,0.07,0.005
2016-07-20 19:35,16PY006092,1,0.078,,0.001,,3.49,,,,0.15,0.036
2016-08-03 18:45,16PY006132,1,0.026,,0.001,,1.33,,,,0.08,0.005
2016-08-17 19:12,16PY006177,1,0.042,,0.001,,1.65,,,,0.08,0.007
2016-09-01 18:30,17PY005024,1,0.022,,0.001,,1.61,,,,0.07,0.004
2016-09-12 20:00,17PY005036,1,0.018,,0.001,,1.43,,,,0.08,0.003
2016-09-28 18:55,17PY005082,1,0.031,,0.001,,1.54,,,,0.07,0.009
2016-10-21 18:05,17PY005131,1,0.016,,0.001,,1.05,,,,0.07,0.004
2016-11-04 18:10,17PY005170,1,0.012,,0.001,,1.03,,,,0.08,0.004
2016-11-29 20:15,17PY005580,1,0.011,,0.001,,1,,,,0.07,0.004
2017-04-03 22:05,17PY005650,1,0.012,,0.001,,1.34,,,,0.1,0.005
2017-05-11 19:00,17PY005772,1,0.161,,0.001,,4.26,,,,0.12,0.04
2017-05-29 18:30,17PY005915,1,0.08,,0.001,,3.38,,,,0.1,0.032
2017-06-13 20:30,17PY005948,1,0.067,,0.001,,2.14,,,,0.1,0.014
2017-07-07 18:30,17PY006139,1,0.031,,0.001,,1.53,,,,0.08,0.01
2017-07-19 20:00,17PY006163,1,0.03,,0.001,,1.38,,,,0.08,0.005
2017-08-16 18:00,17PY006243,1,0.013,,0.001,,1.2,,,,0.07,0.003
2017-09-07 19:40,17PY006293,1,0.014,,0.001,,1.42,,,,0.08,0.003
2017-11-01 20:00,17PY006576,1,0.056,,0.001,,2.11,,,,0.06,0.016
2017-12-06 21:55,18PY005015,1,0.012,,0.001,,1.06,,,,0.08,0.005
2018-01-31 19:15,18PY005948,1,0.015,,0.001,,1.02,,,,0.09,0.003
2018-05-10 19:10,18PY005727,1,0.124,,0.001,,3.55,,,,0.13,0.044
2018-05-30 21:10,18PY005771,1,0.07,,0.001,,2.2,,,,0.11,0.017
2018-06-21 18:17,18PY005860,1,0.04,,0.001,,1.37,,,,0.09,0.009
2018-07-05 18:37,18PY005888,1,0.043,,0.001,,1.51,,,,0.08,0.006
2018-07-19 18:30,18PY006022,1,0.018,,0.001,,1.13,,,,0.06,0.003
2018-08-01 18:47,18PY006043,1,0.02,,0.001,,1.21,,,,0.09,0.003
2018-08-15 17:10,18PY006071,1,0.056,,0.001,,2.2,,,,0.13,0.011
2018-08-30 18:15,18PY006141,1,0.011,,0.001,,1.23,,,,0.09,0.002
2018-09-13 18:10,18PY006183,1,0.008,,0.001,,1.41,,,,0.1,0.002
2018-09-27 19:25,18PY006223,1,0.007,,0.001,,1.05,,,,0.08,0.002
2018-10-10 18:24,18PY006286,1,0.008,,0.001,,1.26,,,,0.09,0.002
2018-11-22 20:46,19PY000157,1,0.016,,0.001,,1.2,,,,0.11,0.005
2019-04-12 19:39,19PY000392,1,0.085,,0.001,,2.79,,,,0.17,0.029
2019-04-23 19:30,19PY000504,1,0.06,,0.001,,1.68,,,,0.12,0.011
2019-05-13 20:33,19PY000553,1,0.026,,0.001,,1.01,,,,0.09,0.005
2019-06-04 20:50,19PY000618,1,0.124,,0.001,,3.1,,,,0.1,0.024
2019-06-10 19:45,19PY000630,1,0.068,,0.001,,1.76,,,,0.09,0.01
2019-06-26 20:00,19PY000738,1,0.042,,0.001,,1.44,,,,0.09,0.006
2019-07-08 20:10,19PY000760,1,0.049,,0.001,,1.48,,,,0.09,0.007
2019-07-31 20:10,19PY000853,1,0.092,,0.001,,2.43,,,,0.09,0.014
2019-08-12 21:35,19PY000874,1,0.067,,0.001,,1.93,,,,0.08,0.008
2019-08-28 18:41,19PY000945,1,0.051,,0.001,,1.92,,,,0.09,0.008
2019-09-03 19:50,19PY000954,1,0.019,,0.001,,1.24,,,,0.08,0.002
2019-09-16 20:40,19PY000989,1,0.034,,0.001,0.107,1.38,0.005,0.09,0.14,0.07,0.004
2019-09-30 20:00,19PY001024,1,0.057,,0.001,0.188,1.74,0.005,0.164,0.25,0.08,0.008
2019-10-23 19:45,19PY001102,1,0.021,,0.001,0.067,1.07,0.005,0.069,0.09,0.08,0.003
2019-11-12 20:14,19PY001363,1,0.002,,0.001,0.015,0.856,0.005,0.016,0.02,0.1,0.001
2020-02-10 21:56,20PY000180,1,0.014,,0.001,0.045,1.03,0.005,0.047,0.04,0.1,0.003
2020-11-25 19:40,21PY000633,1,0.022,0.002,0.002,,1,,,,0.12,0.003
